id,Name,Artists,,started,Address,Notes,Commisioned,District,transform,images,location
m0094,,unknown,unknown,7/22/2015,"4231 Third Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0094,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0094.jpg,
m0095,,SWOON,SWOON,8/22/2016,"14635 East Jefferson, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0095,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0095.jpg,
m0096,,"CARL OXLEY III,MARK SENGBUSCH,JOHN HICKS,CHAD P. HUNT,GREG FREDERICK,DAVE DANIELSON","CARL OXLEY III,MARK SENGBUSCH,JOHN HICKS,CHAD P. HUNT,GREG FREDERICK,DAVE DANIELSON",7/22/2005,"1001 Lakewood Street, Detroit, MI",Painted by Summer in the City,,4,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0096,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0096.jpg,
m0097,,"MONICA CANILAO,PAT PERRY,BEN WOLF,NICK MANN,OUIZI","MONICA CANILAO,PAT PERRY,BEN WOLF,NICK MANN,OUIZI",9/22/2015,"2099 Rivard Street, Detroit, MI",located In alley,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0097,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0097.jpg,
m0098,,SUMMER IN THE CITY,SUMMER IN THE CITY,8/22/2014,"124 Cadillac Square, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0098,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0098.jpg,
m0099,,unknown,unknown,9/1/2016,"5428 Michigan Ave, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0099,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0099.jpg,
m0100,,OUIZI,OUIZI,9/1/2016,"5433 Michigan Ave, Detroit, MI",located in alley,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0100,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0100.jpg,
m0101,,"OUIZI,MICHELLE TANGUAY","OUIZI,MICHELLE TANGUAY",9/22/2017,"1450 Wilkins St, Detroit, MI",,,5,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0101,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0101.jpg,
m0102,,CHARLES MCGEE,CHARLES MCGEE,7/22/2017,"28 West Grand River Ave, Detroit, MI",located in rear,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0102,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0102.jpg,
m0103,,JEROME FERRETTI,JEROME FERRETTI,10/22/2010,"1552 W. Fisher Service Drive, Detroit, MI",Monumental Kitty,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0103,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0103.jpg,
m0104,,DAVID SHILLINGLAW,DAVID SHILLINGLAW,11/22/2016,"2700 Vermont St, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0104,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0104.jpg,
m0105,,MARILYN RONDON,MARILYN RONDON,7/22/2017,"4114 Vernor Hwy, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0105,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0105.jpg,
m0106,,unknown,unknown,1/22/2013,"4116 West Vernor, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0106,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0106.jpg,
m0107,,JEN BOYAK,JEN BOYAK,9/22/2011,"2800 Bagley Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0107,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0107.jpg,
m0108,,NDUBISI OKOYE,NDUBISI OKOYE,7/22/2014,"2545 Bagley Ave, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0108,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0108.jpg,
m0109,,HEBRU BRANTLEY,HEBRU BRANTLEY,9/22/2016,"2419 Orleans Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0109,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0109.jpg,
m0110,,"NYCHOS,FLYING FORTRESS","NYCHOS,FLYING FORTRESS",9/22/2012,"2418 Orleans Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0110,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0110.jpg,
