id,Name,Artists,started,Address,Notes,Commisioned,District,images,location
m0103,,JEROME FERRETTI,10/22/2010,"1552 W. Fisher Service Drive, Detroit, MI",Monumental Kitty,,,https://www.dropbox.com/s/sqbneq881guciez/m0103.jpg?dl=0,
m0104,,DAVID SHILLINGLAW,11/22/2016,"2700 Vermont St, Detroit, MI",,,,https://www.dropbox.com/s/eszvi6rbd9fe0fs/m0104.jpg?dl=0,
m0105,,MARILYN RONDON,7/22/2017,"4114 Vernor Hwy, Detroit, MI",,,,https://www.dropbox.com/s/xslrix5t9tcskwc/m0105.jpg?dl=0,
m0106,,unknown,1/22/2013,"4116 West Vernor, Detroit, MI",,,,https://www.dropbox.com/s/sw3rfcpmbkbo0dk/m106.jpg?dl=0,
m0107,,JEN BOYAK,9/22/2011,"2800 Bagley Street, Detroit, MI",,,,https://www.dropbox.com/s/ne9xcgu73t39lmt/m0107.jpg?dl=0,
m0108,,NDUBISI OKOYE,7/22/2014,"2545 Bagley Ave, Detroit, MI",,,,https://www.dropbox.com/s/9dui33hechislqr/m0108.jpg?dl=0,
m0109,,HEBRU BRANTLEY,9/22/2016,"2419 Orleans Street, Detroit, MI",,,,,
m0110,,"NYCHOS ] , [ FLYING FORTRESS",9/22/2012,"2418 Orleans Street, Detroit, MI",,,,https://www.dropbox.com/s/hnj8mascsne83rf/m0110.jpg?dl=0,
m0111,,LUKE CHUEH,9/22/2015,"1516 Winder St, Detroit, MI",located In alley,,,https://www.dropbox.com/s/yzp9z3wqovl19o6/m0111.jpg?dl=0,
m0112,,RON ZAKRIN,9/1/2015,"1514 Winder St, Detroit, MI",Located In alley,,,https://www.dropbox.com/s/qiahd80p6cpb269/m0112.jpg?dl=0,
m0113,,2501,9/1/2015,"1550 Winder Street, Detroit, MI",,,,https://www.dropbox.com/s/pz2bspgvhpzertb/m0113.jpg?dl=0,
m0114,,FELIPE PANTONE,9/22/2016,"2478 Riopelle Street, Detroit, MI",,,,https://www.dropbox.com/s/owizs7kw8ij14zk/m0114.jpg?dl=0,
m0115,,"GHOST BEARD ] , [ PATCH WHISKY",9/22/2016,"1489 Winder Street, Detroit, MI",,,,https://www.dropbox.com/s/1uzmpg4bolnp9rd/m0115.jpg?dl=0,
